,tweets_text_processed
59,as we gear up for and  learn how customers are quickly migrating vmware workloads to google cloud and taking advantage of native services to transform their applications
60,companies have to apply a strategy with the complexity that it supposesnot forgetting that they should innovate but always keeping control says   during vmworld2021
61,dell technologies
62,it was great fun to be presenting vmtn3192 at together with  thanks everybody for joining i hope its been interesting
63,
64,
65,
66,session must see playback all about from blast to xr streaming and g best watch in vr well done lots of demos
67,anyone know if vmtn3301 bios bias by gregory mobley will be available anywhere to watchmissed this yesterday
68,multicloud infrastructure announcements from  all in one place
69,day of and and kick it off with breaking down and this weeks announcements enjoy
70,an overview of all projects discussed at 
71,thisa million percent such a great interview highlight of for me
72,vmware takes the wraps off vmware edge a platform designed to run manage and secure edgenative apps across multiple clouds
73,good morningafternoon last daynight at and time for wrapping up this year the interaction is really great a lot of opportunities to meet people and participate more actively in sessions and discussions
74,has done numerous new offers and features at the vmworld2021with these companies should be the ranging
75,not long until our session straight from the source horizon cloud amp azure virtual desktop success eus3067 where myself and vernon lihou come together to chat about on  see you on there soon 2pm gmt 
76,has done numerous new offers and features at the vmworld2021with these companies should be the ranging
77,see how companies like and the asklepios group are beefing up as they expand into environments at 
78,recognizing the changing security needs for distributed digital environments is packing more security into its core nsx networking software
79,new note alert announces security innovations on zero trust architecture
80,did you miss  are you curious what announcements were made then dont miss the next virtual event is on 19 s eric harper will be giving a recap of the announcements from  for more info and to register
81,did you miss  are you curious what announcements were made then dont miss the next virtual event is on 19 s eric harper will be giving a recap of the announcements from  for more info and to register
82,this is the sad part of the show the closing but it was a really pleasure to participate and chat with and all community friends
83,lets end with a bang stop by the today from pm1pm et and learn more about and making aiml deployments easier register here
84,vmware the leading global information activity introduced its new products and services in vmworld all the details of the details  vmworld2021
85,at least my am session had questioncomment
86,day of is filled with announcements and sessions on  on this episode and welcome to share the details of tanzu service mesh and this weeks announcements enjoy
87,see what you may have missed at our conference coverage continues right here via
88,charts course for customers to seize opportunity at the
89,getting ready for my first linkedin live event today with  well be talking and tech announcements at
90,the real vmworld2021 announcement is that of tanzu community edition 
91,vr office closed for today for the first time watched all my sessions in oculus quest  tomorrow starting watching recorded sessions what a choice
92,cto shared why the and apps are a winwin for customers and vendors alike during a presentation at this week heres what you need to know
93,vmware announced vmware crosscloud services at check out our video in which and explain what cloud engine is and how customers can use the solution on their multicloud journey
94,living in the multicloud worldmulticloud technology is among the most important announcements of go fasterspend lessbe free 
95,living in the multicloud world strategy in faster  spend less  be free
96,registerits not too late
97,vmware focusing on the developer experience
98,did you miss  are you curious to see some of the demo videos for solution look no furtheri uploaded them into a playlist on my dj shan  azure remixed youtube channel
99,dj shan knows her music and check out her session if you missed it
100,recognizing the changing security needs for distributed digital environments is packing more security into its core nsx networking software 
101,are you stuck with your vmware vrealize automation  instance learn the intelligent way to use vra today
102,our  and
103,to simplify one must first unify discover a unified durable and secure network with at 
104,all the news all the innovations all in seconds quickly learn about vmware crosscloud services
105,nd vmworld2021 online this year being part of a tremendous team gustavai94
106,the early reviews are in and they are great do not miss the fun the insight and stories from these three legends
107, announcements included new security innovations built on architecture that will be more effective and easier to use overview and insights via principal analyst
108,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
109,enjoyed watching this session great change of pace for
110,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
111,cdis very own chief technology officer will huber joins guy bartram at vmworld2021 to discuss cdis app modernization approach watch here
112,great time visiting disney world at in the last night with everyone
113,learn about a new multicloud kubernetes solution a collaboration between and  for running and workloads seamlessly manage hpc clusters quickly securely and costeffectively wi minimal hpc enduser effort 
114,watch this interview to learn how and can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
115, kicked off earlier this week the company rolled out a series of product updates and announcements on the first day of the conference this research note will focus on vmwares and announcements
116,dont miss out on the last day of  learn how ahead amp navigate the modern apps amp cloud platform landscape at register today
117,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
118,discover the power of in with nvidia ai enterprisenow developers and data scientists can access a comprehensive software package that allows ai in vmware vsphere with tanzuexplore more in vmworld2021
119,panel discussionjoin experts from and  they will discuss the latest innovations rolled out digital transformation and key takeaways in gtgt
120,interested in a quick overview for sddc announcements at vmworld  watch this itqonversations video by and  make sure to check out all other videos on our playlist
121,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
122,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
123,unlock the power of on with nvidia ai enterprisenow developers and data scientists can access a complete software package that enables ai in vmware vsphere with tanzuexplore more than vmworld2021
124,yesterday on day of  a lot of euc announcements were made and go through all these announcements in our new video they also cover some of the innovations from the horizon and workspace one solutions
125,ransomware is scary but it doesnt have to be andrew miller is hosting an ondemand session where youll learn more about the anatomy of an attack new attack vectors and how they can affect your vmware vsphere environment
126,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
127,purestorage ransomware is scary but it doesnt have to be andrew miller is hosting an ondemand session where youll learn more about the anatomy of an attack new attack vectors and how they can affect your vmware vsphere environment
128,have a look at our session about the highlights for the sddc during 
129,joining i chose how to master engagement with your audience in a remote world by  and  three awesome brazilians who i have worked with
130,we are for a recover of the vmworld edition  vmworld2021
131,purestorage ransomware is scary but it doesnt have to be andrew miller is hosting an ondemand session where youll learn more about the anatomy of an attack new attack vectors and how they can affect your vmware vsphere environment
132,thanks for a great even in this epademic virtual could be the new future
133,ransomware is scary but it doesnt have to be andrew miller is hosting an ondemand session where youll learn more about the anatomy of an attack new attack vectors and how they can affect your vmware vsphere environment
134,location should be thought of as a system  not a feature today we announced a partnership with fellow member to drive secure accurate location intelligence for learn more
135,checkout my session on nsxt federation with my teammate at
136,imagine that meeting a reallife guardian of the galaxy at thats exactly whats happening if you missed it live go now amp watch on demand s planetary protection engineer amp s 
137,whats vmwares next hci chapter after dell spinoff
138,hello gpu jedis can you think it a demo with cadbim onboarding autodesk trimble virtuosity  eus1289vi1596 sessions that you enjoy watching over and over again
139,carved out time today to catch session loved her comments on always checking in with herself on how she can be more disruptive how are we pushing ourselves when weve been boxed in how do we cultivate a team culture that embraces disruption
140,vmware takes the wraps off vmware edge a platform designed to run manage and secure edgenative apps across multiple clouds 
141,check out the new objectscale which launched yesterday at
142,we are honored to be recognized by and as a best of vmworld winner in numerous categories for our solutions in disruptive technology networking security and edge and multicloud and app modernization
143,emad benjamin explains how to make service owners accountable to establish a servicelevel contract using the notion of a servicelevel objective in this preso learn to measure amp maintain services performance in terms of the slo
144,within the framework of vmworld  vmware crosscloud services that offer freedom flexibility and security at any cloud vmworld2021
145,vmware pumped up its multicloud strategy at vmworld will it pay off
146,thats a wrap for  thanks to everyone who joined us catch up on the latest announcementsay
147,experience vmworld ondemand through october 
