,tweets_text_processed
176,en el cierre de remarcaron que las novedades de buscan profundizar la visin y el soporte tecnolgico que le brindan a las organizaciones para desarrollar el negocio en este ambiente  que es el que va a prevalecer
177,at  vmware announced an upcoming update to vmware vsphere with tanzu enabling enterprises to run projects in conjunction with the nvidia ai enterprise software
178,  spojrzenie w przyszo chmury
179,come down to today and catch clive dsouza and hein hellemons at pm today theyll discuss how vmware solution is helping organization to go faster and spend less with full control over their strategy
180,a big update on now
181,thank you to and for sharing your insights this week about and
182,expanded its tanzu portfolio at  and vmwares is confident that is the future of vmware read more on the tanzu news here
183,00 pm pdt dont miss this panel discussion on the consequences of lack of connectivity during the covid pandemic connect humanity convened by the world economic forum shares its strategy for change and more
184,present vmware edge un portafolio de productos que permitir a las organizaciones ejecutar gestionar y proteger aplicaciones nativas del en nubes mltiples en cualquier lugar gt
185,were now smack dab in the middle of  if you havent attended a session that touches on security with  check out our full organized list right here
186,what an awesome statement by on project its such a great feeling seeing the adoption of out in the wildslide showed up in sessionthanks so much scott for all your contributions
187,my latest blog  a hitchhikers guide to hybrid multi cloud and edge
188,missed this awesome session watch it now ondemand at 
189,tune in at 30 pdt and learn whats new from nvidia amp vmware in enterprise ai with justin boitano amp paul turner
190,did you know if you use code vmworld2021 to upgrade or renew your subscription you could win oculus quest virtual reality headset or samsung galaxy buds plus sign up today
191,
192,vmware ceos boldest remarks at vmworld
193,having show up and speak virtually at was basically the highlight of the entire series thank you  please note will smith and michael j fox also spoke
194,estamos en vivo desde  sumate ahora para ver el resumen del da del con todas las novedades en espaol
195,on day of and catch up with to discuss  and a few other sessions youll want to keep your eye on enjoy
196,you said  look at the casting the biggest ww clouds ceos shared at why partnership is so crucial for customers multicloud journey
197,the latest the technology haus thanks to
198,cloudbolt is an integration platform that makes integrations simple without the need for coding or system expertise discover how to get the most out of your instance with onefuse
199,xrhub by and in my virtual home theater full video on manage your devices securely and enterprise ready
200,you keep the global economy humming ceo giving special thanks to the community  keynote free
201,had an awesome time presenting earlier today at on user experience workflows eus1366 if you missed it ill be going on again live at midnight eastern
202,got to speak on my favorite topic at
203,rocking it at with thanks
204,just found this cool handsonlab at vmworld getting started with vrealize operations only took me mins to finish it super helpful
205,somos patrocinadores de  no te pierdas nuestra sesin con paul morrisey donde le detallar las cinco estrategias principales que necesitas para tu prxima infraestructura de it
206,what an honor to have been invited to this panel
207, on demand the murder of in may brought new and urgent attention to the importance of social justice and equality in all aspects of our life including how we speak in the corporate world amazing panel lineup check it out
208,being the first g designed from the ground up to meet the needs of vertical industries i have no doubt g will be a strong catalyst to change lives excellent panel today thanks for having me
209,lots of folks interested in hearing what said at  most popular piece on com today
210,nice to see you guys
211,day of and the vision amp innovation track is  today at 30 pt join  meryem simsek amp as they discuss where is the path to g amp how do we get there
212,make sure you dont miss this upcoming session by on modern security design if you do miss it live make sure to watch the replay
213,check out the vmworld session with one of our local vmug members around security
214,throw down on
215,awesome time at its months since i last saw some of these guys thanks
216,its always networking having networking issue on all providers no today
217,do epic sht i am so disappointed this isnt in person
218,hey members we want to help you reduce meantimetoresolution attend this session to give us your feedback on upcoming innovations join the waitlist and youll be added to the session of your choice
219,en tijd voor de laaatste sessie van vandaag
220,using virtual reality with vmware
221,day2 is in full swing all the announcements here
222,no percam o painel ic3269  inspire change with top leaders  latam portuguese panel session com e rafael carvalho  acabei de assistir e est sensacional
223,vmware vsphere update whats new video
224,its a multicloud worldvmware introduced cross cloud services providing customers the ability to build run and secure applications across any cloud
225,best session today automate your ops using vrops and rest apis vmtn3231 must see for automation freaks thanks always learn something useful from you
226,awesome avs deepdive presentation and 
227,just announced at  nvidia and lenovo are expanding their collaboration to include the project monterey early access program equipping enterprises to enable modern workloads such as ai and machine learning
228,see how nvidia and vmware are making ai accessible to every enterprise join executives manuvir das and krish prasad for their joint session at this years on oct th pm pdt
229,thanks for the shout out on your presentation on
230,always a fun week working with our smes customers and partners
231,new open source community edition leads tanzu news at vmworld it helps enterprises run and manage multiple kubernetes clusters in publicprivate clouds or a mix of the two 
232,amazing how many have been shared by during this alone without sharing them separately just subscribe to our youtube channel  see whats the latest and greatest during vmworld and beyond
233,
234,no se lo pierdas la sesin con los panelistas de latam en con el tema ic3268  inspire change with top leaders  latam spanish panel
235,all the vmworld anywhere workspace workspace one and horizon announcements 
236,day2 hit the mark
237,interesting session from vmworld for vmware cloud foundation tips and tricks for successful vcf bring up process session mcl1025 vmware cloud foundation vcf
238,how can solve your issues ranging from data sovereignty to compliance check out this interview to learn more about vmwares partnership with them
239,watch this interview to learn how is solving your security concerns and helping with cloud adoption via their partnership with vmware
240,struggling to move to cloud or confused about what option fits your needs best watch this interview with on how their partnership with vmware is solving such challenges for their customers
241,watch this interview to learn how with their vmware partnership can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
242,as we gear up for and  learn how customers are quickly migrating vmware workloads to google cloud and taking advantage of native services to transform their applications
243,learn the best of app modernization and how america movil with their vmware partnership can help reach your goals watch this interview
244,learn how is solving for operational consistency or scale when you are developing your apps
245,watch how is tackling the key issue of sovereignty and helping customers secure against data theft and prevent data spillage via their vmware partnership
246,see how via the vmware partnership is helping customers modernize their infrastructure solve for containerization issues and provide solutions that can grow with you
247,te perdiste los anuncios claves del  no hay problema te compartimos un resumen con todo lo que tens que saber claro conciso y en espaol solo por wetcom miralo ac
248,details details details all references are in the solution keynotehow cool is that
249,en espaol los anuncios del
250,the recording from my talk at is online
251,a fantastic job from all of our speakers today only one more day of
252,vmworld day highlight accelerate innovation
253,this is one of the top multicloud sessions available at
